Name,Gujarati Name,Price,Sale Price,Stock,Unit
Khichdi,ખીચડી,45.00,45.00,150,Packet
Pasta,પાસ્તા,45.00,45.00,150,Packet
Garlic kaju,ગાર્લિક કાજુ,45.00,45.00,150,Packet
Lasan Kaju,લસણ કાજુ,45.00,45.00,150,Packet
Chaumin Noodles,ચૌમીન નૂડલ્સ,45.00,45.00,150,Packet
Gadi,ગાડી,44.00,44.00,150,Packet
finger chips,ફિંગર ચિપ્સ,45.00,45.00,150,Packet
soya chips,સોયા ચિપ્સ,46.00,46.00,150,Packet
Soya stick,સોયા સ્ટિક,46.00,46.00,150,Packet
Petpooja noodles,પેટપૂજા નૂડલ્સ,45.00,45.00,150,Packet
Target noodles,ટાર્ગેટ નૂડલ્સ,45.00,45.00,150,Packet
Seema,સીમા,45.00,45.00,150,Packet
